"","pops","meanfst"
"88","dns.sou",0.352280322900248
"89","dns.uho",0.371759093447422
"90","dns.waj",0.578551290249944
"91","fdm.ave",0.216010729650507
"92","fdm.cnt",0.567826767012168
"93","fdm.dns",0.302702238556934
"94","fdm.fut",0.590650693210016
"95","fdm.hay",0.589218361073523
"96","fdm.hik",0.715822314944608
"97","fdm.lhp",0.337342984896303
"98","fdm.mng",0.207396202118071
"99","fdm.mngsou",0.199141878999549
"100","fdm.nyc",0.337547645255803
"101","fdm.osh",0.247858141955836
"102","fdm.ris",0.52458123601083
"103","fdm.shk",0.66075914282491
"104","fdm.sou",0.281767387787292
"105","fdm.tmb",0.231220159305994
"106","fdm.uho",0.278503888463272
"107","fdm.usu",0.507424882777277
"108","fdm.waj",0.547750779305681
"109","fdm.wwf",0.258903100946372
"110","fut.hik",0.819836575395034
"111","fut.mng",0.507138124521504
"112","fut.nyc",0.592189667567568
"113","fut.ris",0.755840683119225
"114","fut.sou",0.518055628236884
"115","fut.uho",0.547047147939653
"116","fut.waj",0.568388918486827
"117","hay.ave",0.603797246566089
"118","hay.cnt",0.696676525557307
"119","hay.dns",0.618636736770998
"120","hay.fut",0.600933054291507
"121","hay.hik",0.803007286101083
"122","hay.lhp",0.601498194369369
"123","hay.mng",0.517222286132373
"124","hay.mngsou",0.483682692030617
"125","hay.nyc",0.595066270659761
"126","hay.osh",0.534205867176947
"127","hay.ris",0.753975739179441
"128","hay.shk",0.657147372014421
"129","hay.sou",0.523607067537145
"130","hay.tmb",0.539717206438541
"131","hay.uho",0.553169373705538
"132","hay.usu",0.548027123479045
"133","hay.waj",0.500613321026565
"134","hay.wwf",0.539217525664115
"135","hik.mng",0.665335643211547
"136","hik.nyc",0.721540103067208
"137","hik.ris",0.850365286714867
"138","hik.sou",0.67496447609382
"139","hik.uho",0.691220058186739
"140","hik.waj",0.739714384528642
"141","lhp.ave",0.366770371029511
"142","lhp.cnt",0.584344442693087
"143","lhp.dns",0.435239416535256
"144","lhp.fut",0.594772711196215
"145","lhp.hik",0.725611731784345
"146","lhp.mng",0.23735148289059
"147","lhp.mngsou",0.228266212066637
"148","lhp.nyc",0.0658259853669518
"149","lhp.osh",0.253085431562359
"150","lhp.ris",0.291162738621
"151","lhp.shk",0.669004778729157
"152","lhp.sou",0.310053073615489
"153","lhp.tmb",0.266503097703737
"154","lhp.uho",0.213408572489869
"155","lhp.usu",0.517430043468468
"156","lhp.waj",0.555732294011706
"157","lhp.wwf",0.190926219045475
"158","mng.nyc",0.243073760972316
"159","mng.ris",0.427703445020279
"160","mng.sou",0.206918076282628
"161","mng.uho",0.179848856210621
"162","mng.waj",0.475641839108911
"163","mngsou.ave",0.231942893267282
"164","mngsou.cnt",0.470308493585415
"165","mngsou.dns",0.291564242287773
"166","mngsou.fut",0.475843499887413
"167","mngsou.hik",0.639487586377988
"168","mngsou.mng",0.0346891271377138
"169","mngsou.nyc",0.223411851001576
"170","mngsou.osh",0.131533184518452
"171","mngsou.ris",0.430880620775124
"172","mngsou.shk",0.568313143018018
"173","mngsou.sou",0.036810303780378
"174","mngsou.tmb",0.109010959045905
"175","mngsou.uho",0.156391414716472
"176","mngsou.usu",0.391795281179649
"177","mngsou.waj",0.443608619711971
"178","mngsou.wwf",0.141934749324932
"179","nyc.ris",0.403005344749887
"180","nyc.sou",0.296381720684222
"181","nyc.uho",0.158600769525096
"182","nyc.waj",0.550313692775152
"183","osh.ave",0.271954764242288
"184","osh.cnt",0.519554811388701
"185","osh.dns",0.346435179689259
"186","osh.fut",0.528914052465661
"187","osh.hik",0.6748855157871
"188","osh.mng",0.146110358235824
"189","osh.nyc",0.235263258158902
"190","osh.ris",0.470137708201893
"191","osh.shk",0.608795336936937
"192","osh.sou",0.214493614311431
"193","osh.tmb",0.158755321557156
"194","osh.uho",0.0978267718271827
"195","osh.usu",0.446406257991896
"196","osh.waj",0.494087333258326
"197","osh.wwf",0.0829768150315032
"198","ris.sou",0.515197415953132
"199","ris.uho",0.498488086750789
"200","ris.waj",0.697765981973862
"201","shk.ave",0.673262013071895
"202","shk.cnt",0.741754289029061
"203","shk.dns",0.685001436330854
"204","shk.fut",0.699261083802658
"205","shk.hik",0.827087495934959
"206","shk.mng",0.595273895495495
"207","shk.nyc",0.665948325371789
"208","shk.ris",0.804055827057497
"209","shk.sou",0.60915853490991
"210","shk.tmb",0.616736722747748
"211","shk.uho",0.626452066891892
"212","shk.usu",0.647435009238396
"213","shk.waj",0.476631078864353
"214","shk.wwf",0.614867457882883
"215","sou.uho",0.229559200045004
"216","sou.waj",0.482928844959496
"217","tmb.ave",0.261784026345418
"218","tmb.cnt",0.524460725185685
"219","tmb.dns",0.343724170682279
"220","tmb.fut",0.533600744201756
"221","tmb.hik",0.684393625620207
"222","tmb.mng",0.103434089783978
"223","tmb.nyc",0.260294096331308
"224","tmb.ris",0.463345753492564
"225","tmb.sou",0.215703054230423
"226","tmb.uho",0.195448448469847
